entity_type	entity_id	place_id	year_start	year_end	reason_predicate_id	stance	path_signature
person	alexander-ephesus-riot	ephesus	54	55	active_in		path-ef88421870f4d8e0
person	apollos	achaia	54	55	active_in		path-d2338468c549067e
person	aristarchus	ephesus	54	55	active_in		path-8f2e40f1ea6b8a6d
person	demetrius	ephesus	54	55	active_in		path-0ccde594407396df
person	tyrannus	ephesus	54	55	active_in		path-53c35ec22aa939fb
person	nero	rome	54	68	active_in		path-38b6d5786585bedf
group	disciples-of-jesus	achaia	55	56	group_present_at		path-47a5595b97ae85f5
proposition	jesus-is-proclaimed-as-raised	achaia	55	56	derived_proposition_presence	affirms	drv-780d822088952cb6
proposition	jesus-is-proclaimed-as-raised	corinth	55	56	derived_proposition_presence	affirms	drv-2d488b6f3018e866
work	second-epistle-to-the-corinthians	achaia	55	56	addressed_to_place		path-a7da10a49684f6a2
work	second-epistle-to-the-corinthians	corinth	55	56	addressed_to_place		path-56d267c35344859a
person	phoebe	corinth	56	57	active_in		path-a0a95d5c38bf8f75
person	agabus	judea	57	57	active_in		path-d067ab7b20433c8a
person	ananias-high-priest	caesarea	57	57	active_in		path-597359e3c4e35004
person	andronicus	rome	57	57	active_in		path-c99106eed7bb5973
person	aristarchus	thessalonica	57	57	active_in		path-7f703e066fcd84cd
person	asyncritus	rome	57	57	active_in		path-7530f7b29708f07c
group	disciples-of-jesus	troas	57	57	group_present_at		path-cac8f1eb851f290b
group	disciples-of-jesus	tyre	57	57	group_present_at		path-119fea0d8e75067d
work	epistle-to-the-romans	rome	57	57	addressed_to_place		path-30247de92fa46c4a
person	gaius-of-derbe	derbe	57	57	active_in		path-1099c02c91a84cc1
person	hermas	rome	57	57	active_in		path-d2a3ab3ce7ec14fa
person	hermes	rome	57	57	active_in		path-820f7b7835701235
proposition	jesus-is-proclaimed-as-raised	rome	57	57	derived_proposition_presence	affirms	drv-85774131af32140c
person	julia-of-rome	rome	57	57	active_in		path-190af776f17ba04d
person	junia	rome	57	57	active_in		path-06cf1322e05ab692
person	mary-of-rome	rome	57	57	active_in		path-9e00fbaf4b6bc080
person	mnason	cyprus	57	57	active_in		path-e3771a7892f286a0
person	nereus-of-rome	rome	57	57	active_in		path-81abdab094a7b1b3
person	olympas	rome	57	57	active_in		path-7d923bcd15876844
person	patrobas	rome	57	57	active_in		path-624cf66dbc2131ac
person	paul	assos	57	57	active_in		path-7455c859a88d019a
person	paul	chios	57	57	active_in		path-29c31a590a8eb3a3
person	paul	miletus	57	57	active_in		path-37662d02fe8177cd
person	paul	mitylene	57	57	active_in		path-2bc4b5427075a04f
person	paul	samos	57	57	active_in		path-f2422677f5a39491
person	paul	troas	57	57	active_in		path-211c05dc407cefea
person	paul	tyre	57	57	active_in		path-775e5493c0baa086
person	persis	rome	57	57	active_in		path-3d132d0b3fbe3e2c
person	philologus	rome	57	57	active_in		path-baca34e94e6795d1
person	phlegon	rome	57	57	active_in		path-847f94fd72cfb512
group	roman-church	rome	57	57	group_present_at		path-35ecb58b50abb4c9
person	rufus-of-rome	rome	57	57	active_in		path-5b9c102ee7e42166
person	secundus	thessalonica	57	57	active_in		path-d6b6840f52073001
person	sopater	berea	57	57	active_in		path-fc14220739bcaedf
person	stachys	rome	57	57	active_in		path-8b390799347bce5f
person	tertullus	caesarea	57	57	active_in		path-3dc04682cb1d90c0
person	trophimus	asia	57	57	active_in		path-e431b80e39707c26
person	trophimus	jerusalem	57	57	active_in		path-fe793d0bebd03bc0
person	tryphaena	rome	57	57	active_in		path-259d1525c2936034
person	tryphosa	rome	57	57	active_in		path-cc5dd12b2b330270
person	tychicus	asia	57	57	active_in		path-99c7d6099db80ef2
person	urbanus	rome	57	57	active_in		path-b550995023d96c3b
person	drusilla	caesarea	57	59	active_in		path-18d8bea2a1029448
person	felix	caesarea	57	59	active_in		path-66d5bfa3c3be89c1
group	disciples-of-jesus	caesarea	57	62	group_present_at		path-bf09bd443ff88cff
person	philip-the-evangelist	caesarea	57	62	active_in		path-c7ebf6b5ee9c4d98
person	julius	sidon	59	59	active_in		path-336459d9529a11ec
person	paul	fair-havens	59	59	active_in		path-0c2d15d8234ea682
person	paul	myra	59	59	active_in		path-6ac6655326844d53
