edge_id	from_type	from_id	to_type	to_id	relation_kind	directness	rule_id	year_start	year_end	certainty	supporting_claim_ids	path_text
edge-582d305cf31cc77e	proposition	infants-and-children-are-baptized	place	carthage	proposition_place	derived	work_mentions_proposition+written_at	252	252	probable	clm-ep64-mentions-catechumenate|clm-ep64-written-carthage	work:epistula-64-cyprian → work_mentions_proposition → proposition:infants-and-children-are-baptized + work:epistula-64-cyprian → written_at → place:carthage
edge-5dd1f9f9a0d1e977	proposition	eucharist-fulfills-malachi-pure-offering	place	carthage	proposition_place	derived	work_mentions_proposition+written_at	252	252	probable	clm-de-dom-orat-affirms-eucharist-malachi|clm-de-dom-orat-written-carthage	work:de-dominica-oratione → work_mentions_proposition → proposition:eucharist-fulfills-malachi-pure-offering + work:de-dominica-oratione → written_at → place:carthage
edge-659a6def1aec132e	proposition	fasting-is-required	place	carthage	proposition_place	derived	work_affirms_proposition+written_at	252	252	probable	clm-de-dom-orat-affirms-fasting|clm-de-dom-orat-written-carthage	work:de-dominica-oratione → work_affirms_proposition → proposition:fasting-is-required + work:de-dominica-oratione → written_at → place:carthage
edge-6b32e1d48b559110	proposition	infants-and-children-are-baptized	place	carthage	proposition_place	derived	work_affirms_proposition+written_at	252	252	probable	clm-ep64-affirms-infant-baptism|clm-ep64-written-carthage	work:epistula-64-cyprian → work_affirms_proposition → proposition:infants-and-children-are-baptized + work:epistula-64-cyprian → written_at → place:carthage
edge-6cf7c69663d79eb0	proposition	baptism-with-water-commanded	place	carthage	proposition_place	derived	work_affirms_proposition+written_at	252	252	probable	clm-de-dom-orat-affirms-baptism-water|clm-de-dom-orat-written-carthage	work:de-dominica-oratione → work_affirms_proposition → proposition:baptism-with-water-commanded + work:de-dominica-oratione → written_at → place:carthage
edge-6db5137ab2b560a8	proposition	trinity-is-three-persons-one-substance	place	carthage	proposition_place	derived	work_affirms_proposition+written_at	252	252	probable	clm-de-dom-orat-affirms-trinity|clm-de-dom-orat-written-carthage	work:de-dominica-oratione → work_affirms_proposition → proposition:trinity-is-three-persons-one-substance + work:de-dominica-oratione → written_at → place:carthage
edge-763ed4b2cba7d5ef	work	epistula-64-cyprian	place	carthage	work_place	direct	written_at	252	252	attested	clm-ep64-written-carthage	work:epistula-64-cyprian → written_at → place:carthage
edge-7b172bb9bfec097d	proposition	ordination-conferred-by-laying-on-of-hands	place	carthage	proposition_place	derived	work_affirms_proposition+written_at	252	252	probable	clm-ep64-affirms-ordination-hands|clm-ep64-written-carthage	work:epistula-64-cyprian → work_affirms_proposition → proposition:ordination-conferred-by-laying-on-of-hands + work:epistula-64-cyprian → written_at → place:carthage
edge-7d5a8fdae32cb89a	work	de-dominica-oratione	place	carthage	work_place	direct	written_at	252	252	probable	clm-de-dom-orat-written-carthage	work:de-dominica-oratione → written_at → place:carthage
edge-8b86e357a4fe9895	proposition	post-baptismal-sin-forgiven-by-penance	place	carthage	proposition_place	derived	work_affirms_proposition+written_at	252	252	probable	clm-de-dom-orat-affirms-penance|clm-de-dom-orat-written-carthage	work:de-dominica-oratione → work_affirms_proposition → proposition:post-baptismal-sin-forgiven-by-penance + work:de-dominica-oratione → written_at → place:carthage
edge-a9593d8b27057fe3	proposition	baptism-with-water-commanded	place	carthage	proposition_place	derived	work_affirms_proposition+written_at	252	252	probable	clm-ep64-affirms-baptism-water|clm-ep64-written-carthage	work:epistula-64-cyprian → work_affirms_proposition → proposition:baptism-with-water-commanded + work:epistula-64-cyprian → written_at → place:carthage
