proposition_id	place_id	year_start	year_end	stance	supporting_claim_count	opposing_claim_count	derived_edge_ids	derivation_hash
martyrs-relics-honored	laodicea	95	95	affirms	1	0	edge-477eb7e8c93df8af	drv-0f88fda3f95ac8f6
martyrs-relics-honored	patmos	95	95	affirms	1	0	edge-bcb1c5b8d8186f1a	drv-7e90c654678307cc
martyrs-relics-honored	pergamum	95	95	affirms	1	0	edge-61a2babd72592805	drv-b096c6225430dd99
martyrs-relics-honored	philadelphia-asia	95	95	affirms	1	0	edge-5dc7bccfbcbdb1b9	drv-b95841794d576ff6
martyrs-relics-honored	sardis	95	95	affirms	1	0	edge-3d562e765a866d7a	drv-38ddb62e66007183
martyrs-relics-honored	smyrna	95	95	affirms	1	0	edge-d2b139e4e7f26387	drv-bd09ae8cb1baa9a0
martyrs-relics-honored	thyatira	95	95	affirms	1	0	edge-1911b576eb4f1619	drv-35d876f38c312d63
apostolic-succession-transmits-faith	corinth	95	96	affirms	1	0	edge-767b9621b135e77c	drv-a4db8400aa2768b0
apostolic-succession-transmits-faith	rome	95	96	affirms	1	0	edge-82a44ef0e9f5b21d	drv-ba68712ffb5680b3
bishop-succession-guarantees-apostolic-faith	corinth	95	96	affirms	1	0	edge-a83496c2dffff035	drv-93ed90bd65e5ba87
bishop-succession-guarantees-apostolic-faith	rome	95	96	affirms	1	0	edge-3e8f2a1f4112a52a	drv-7c95d3047b43110d
bodies-will-be-raised-at-last-day	corinth	95	96	affirms	1	0	edge-483dfa71f1998d24	drv-b55b43e969952024
bodies-will-be-raised-at-last-day	rome	95	96	affirms	1	0	edge-a94ce9b5573099d7	drv-2bb8898647b3f71c
christ-truly-became-flesh	corinth	95	96	affirms	1	0	edge-d9f534dc51d382b1	drv-2093816c1b90e91a
christ-truly-became-flesh	rome	95	96	affirms	1	0	edge-588a0020c203f7c4	drv-b9edfb921be40eab
fasting-is-required	corinth	95	96	affirms	1	0	edge-4b45986b1533f910	drv-1959ad6b6eb83477
fasting-is-required	rome	95	96	affirms	1	0	edge-c28f10cec2269893	drv-e2a7eda9c8e4a257
frequent-eucharistic-assembly	corinth	95	96	affirms	1	0	edge-ef4d170d4b38f2a6	drv-6c3f1f8b19d897c2
frequent-eucharistic-assembly	rome	95	96	affirms	1	0	edge-40e57cfff5309439	drv-7b3a146951d77c45
logos-is-pre-existent-son-of-god	corinth	95	96	affirms	1	0	edge-00ade5f0aee26a9a	drv-7e9fe0bf737c601b
logos-is-pre-existent-son-of-god	rome	95	96	affirms	1	0	edge-f7e717009c6a7173	drv-fa081c4a09d84ef4
