place_id	decade	presence_status	group_presence_summary	dominant_polity_group_id	supporting_claim_count	derivation_hash
antioch	180	attested	antioch-church; ebionites; marcionites; roman-empire; valentinians	roman-empire	6	state-e76c7d5ad450da84
antioch	190	attested	antioch-church; ebionites; marcionites; roman-empire; valentinians	roman-empire	6	state-28a61d81d2bc87e3
antioch	200	attested	antioch-church; ebionites; marcionites; montanists; roman-empire; valentinians	roman-empire	7	state-2d39b56d9f684d94
antioch	210	attested	antioch-church; ebionites; marcionites; montanists; roman-empire; valentinians	roman-empire	7	state-5f57d1efc8f9c62a
antioch	220	attested	antioch-church; ebionites; marcionites; montanists; roman-empire; valentinians	roman-empire	7	state-e0609cdb53bc81fb
antioch	230	attested	antioch-church; ebionites; marcionites; montanists; roman-empire; valentinians	roman-empire	7	state-708e4d37f96d4dbd
antioch	240	attested	antioch-church; ebionites; marcionites; montanists; roman-empire; valentinians	roman-empire	7	state-ae0df5579de1c7c8
antioch	250	attested	antioch-church; ebionites; marcionites; montanists; roman-empire; valentinians	roman-empire	7	state-b3c8b866035dcd51
antioch	260	attested	antioch-church; ebionites; marcionites; novatianists; roman-empire	roman-empire	6	state-81bcbf152cc05f9f
antioch	270	attested	antioch-church; ebionites; marcionites; novatianists; roman-empire	roman-empire	6	state-79de766b1427a98c
antioch	280	attested	antioch-church; ebionites; marcionites; novatianists; roman-empire	roman-empire	6	state-1f940b61ec964489
antioch	290	attested	antioch-church; ebionites; marcionites; novatianists; roman-empire	roman-empire	6	state-fecb98ba66a181ae
antioch	300	attested	antioch-church; ebionites; marcionites; novatianists; roman-empire	roman-empire	6	state-443bbed694a5806c
antioch	310	attested	antioch-church; novatianists; roman-empire	roman-empire	4	state-04ac7c738331e67e
antioch	320	attested	antioch-church; novatianists; roman-empire	roman-empire	4	state-cf69e16e500efbee
antioch	330	attested	antioch-church; novatianists; roman-empire	roman-empire	4	state-56bb0adc33c2897f
antioch	340	attested	antioch-church; novatianists; roman-empire	roman-empire	4	state-84ce2392026ae24a
antioch	350	attested	antioch-church; novatianists; roman-empire	roman-empire	4	state-7da3dc4abd78f5c8
antioch	360	attested	antioch-church; novatianists; roman-empire	roman-empire	4	state-e682693edc9d7d46
antioch	370	attested	antioch-church; novatianists; roman-empire	roman-empire	4	state-abfb2d311226cdf1
antioch	380	attested	antioch-church; novatianists; roman-empire	roman-empire	4	state-acd84818c6374358
antioch	390	attested	antioch-church; novatianists; roman-empire	roman-empire	4	state-3b2b7bf0023e2340
antioch	400	attested	antioch-church; novatianists; roman-empire	roman-empire	4	state-75e3033e495971c3
appii-forum	60	attested			1	state-eba9cfe5e8ab53ec
arbela	200	attested	church-of-the-east		2	state-7fa964f044fba8ec
arbela	210	attested	church-of-the-east		2	state-8760de9d4671ae71
arbela	220	attested	church-of-the-east		2	state-69e7fb5119a77a19
arbela	230	attested	church-of-the-east		2	state-0235c7d5507e4329
arbela	240	attested	church-of-the-east		2	state-e549495701d4cd5e
arbela	250	attested	church-of-the-east		2	state-39e8b6368b35e068
arbela	260	attested	church-of-the-east		2	state-1eea549701b710e9
arbela	270	attested	church-of-the-east		2	state-34eb960810f7ec4e
arbela	280	attested	church-of-the-east		2	state-cebd96c31f41b3c0
arbela	290	attested	church-of-the-east		2	state-f3ca20954e6afa9c
arbela	300	attested	church-of-the-east		2	state-8c11a1636d8501bc
arbela	310	attested	church-of-the-east		2	state-caa7c2308793a726
arbela	320	attested	church-of-the-east		2	state-5ba92a3ba2dd66e3
arbela	330	attested	church-of-the-east		2	state-7751e3ace4bda7e7
arbela	340	attested	church-of-the-east		2	state-28ebaf5fcc7254c0
arbela	350	attested	church-of-the-east		2	state-c4e61ae04d2b09c0
arbela	360	attested	church-of-the-east		2	state-d7b905609d99564e
arbela	370	attested	church-of-the-east		2	state-af7ffbefa69145d8
arbela	380	attested	church-of-the-east		2	state-eb007db588aae8ab
arbela	390	attested	church-of-the-east		2	state-a7508f426f08e880
arbela	400	attested	church-of-the-east		2	state-370a5801b44ff669
arles	310	attested	british-church		2	state-4c006a88b429f425
arles	320	attested			1	state-006796f805e29497
arles	330	attested			1	state-d9ec301ef1c0d399
arles	340	attested			1	state-1aac00a7d7c08468
arles	350	attested			1	state-6aa732980a0e2ca9
arles	360	attested			1	state-6c7e5105fff80ccc
arles	370	attested			1	state-48e5ba9b0016e975
arles	380	attested			1	state-b9d3636c6027669e
asia	-140	unknown	roman-empire	roman-empire	1	state-01091088bb636495
asia	-130	unknown	roman-empire	roman-empire	1	state-142fb9851d4b83f8
asia	-120	unknown	roman-empire	roman-empire	1	state-a6ee29653255efa9
asia	-110	unknown	roman-empire	roman-empire	1	state-3c433b2d5ffc559e
asia	-100	unknown	roman-empire	roman-empire	1	state-6754eda996e4c5ef
asia	-90	unknown	roman-empire	roman-empire	1	state-d915494baf91e77d
asia	-80	unknown	roman-empire	roman-empire	1	state-bb343f8b94f3e061
asia	-70	unknown	roman-empire	roman-empire	1	state-25f3038b281c47a0
asia	-60	unknown	roman-empire	roman-empire	1	state-5cbaae0853eb1458
asia	-50	unknown	roman-empire	roman-empire	1	state-f5890a6cd649a52e
asia	-40	unknown	roman-empire	roman-empire	1	state-ede061e4a371e56e
asia	-30	unknown	roman-empire	roman-empire	1	state-db058122a9890eeb
asia	-20	unknown	roman-empire	roman-empire	1	state-314b9068e9329342
asia	-10	unknown	roman-empire	roman-empire	1	state-4c7f561fe1cb91ed
asia	0	unknown	roman-empire	roman-empire	1	state-0f9b2f22f59b1250
asia	10	unknown	roman-empire	roman-empire	1	state-4e92808678382d00
asia	20	unknown	roman-empire	roman-empire	1	state-6a500ba546ff1000
asia	30	unknown	roman-empire	roman-empire	1	state-87d1309bbd0e6914
asia	40	unknown	roman-empire	roman-empire	1	state-3a8cda7df904bff1
asia	50	attested	roman-empire	roman-empire	2	state-0ed2943e21be43cc
asia	60	attested	disciples-of-jesus; roman-empire	roman-empire	4	state-5a5b6a3e8218a246
asia	70	attested	roman-empire	roman-empire	2	state-fadabdcbc356840f
asia	80	attested	roman-empire	roman-empire	2	state-ecbd863e068f72ef
asia	90	attested	roman-empire	roman-empire	2	state-fa889f6eb1ffd479
asia	100	attested	docetists; roman-empire	roman-empire	3	state-f642794a7bea6cbe
asia	110	attested	docetists; roman-empire	roman-empire	3	state-3d9768fef4aeae8c
asia	120	attested	docetists; roman-empire	roman-empire	3	state-b0618266929173e9
asia	130	attested	docetists; roman-empire	roman-empire	3	state-496ffb42db93369c
asia	140	attested	docetists; marcionites; roman-empire	roman-empire	4	state-47835260e9649590
asia	150	attested	docetists; marcionites; roman-empire	roman-empire	4	state-5f8da51718a2b998
asia	160	attested	marcionites; roman-empire	roman-empire	3	state-562be5b9dd95dc9b
asia	170	attested	marcionites; montanists; roman-empire	roman-empire	4	state-f99b6ca76f009a80
asia	180	attested	marcionites; montanists; roman-empire	roman-empire	4	state-bb5f09692dfe1a2f
asia	190	attested	marcionites; montanists; roman-empire	roman-empire	4	state-3377a5de0aa304bc
asia	200	attested	marcionites; montanists; roman-empire	roman-empire	4	state-4eb17bb286edfa95
asia	210	unknown	marcionites; montanists; roman-empire	roman-empire	3	state-a262bc6bbc66e772
asia	220	unknown	marcionites; montanists; roman-empire	roman-empire	3	state-4c75a76730b423be
asia	230	unknown	marcionites; montanists; roman-empire	roman-empire	3	state-0844c3ab04635711
asia	240	unknown	marcionites; montanists; roman-empire	roman-empire	3	state-b1fcf56b77e11d16
asia	250	unknown	marcionites; montanists; roman-empire	roman-empire	3	state-34a474bb4f229829
asia	260	unknown	marcionites; montanists; novatianists; roman-empire	roman-empire	4	state-c2f5a418a7a2e5ce
asia	270	unknown	marcionites; montanists; novatianists; roman-empire	roman-empire	4	state-7caddeb47250957e
asia	280	unknown	marcionites; montanists; novatianists; roman-empire	roman-empire	4	state-70630305dd276c98
asia	290	unknown	marcionites; montanists; novatianists; roman-empire	roman-empire	4	state-b39fb1deb882faa5
asia	300	unknown	marcionites; montanists; novatianists; roman-empire	roman-empire	4	state-134a34ec0d8b2c4f
asia	310	unknown	novatianists; roman-empire	roman-empire	2	state-5ed9495247aa0528
asia	320	unknown	novatianists; roman-empire	roman-empire	2	state-1c03cfb82f165dce
asia	330	unknown	novatianists; roman-empire	roman-empire	2	state-bf86e50bf7b77863
asia	340	unknown	novatianists; roman-empire	roman-empire	2	state-4ac1bb17920d4944
asia	350	unknown	novatianists; roman-empire	roman-empire	2	state-2364fcf67625359b
asia	360	unknown	novatianists; roman-empire	roman-empire	2	state-149606dad621c0db
asia	370	unknown	novatianists; roman-empire	roman-empire	2	state-ebb408400771bcec
asia	380	unknown	novatianists; roman-empire	roman-empire	2	state-eeb5cccfb0cea6e2
asia	390	unknown	novatianists; roman-empire	roman-empire	2	state-a8053f43b979d72b
asia	400	unknown	novatianists; roman-empire	roman-empire	2	state-ed08154fb3a0d129
assos	50	attested			1	state-6bb63e01e08088cd
athens	-90	unknown	roman-empire	roman-empire	1	state-b35b6a92e3420bf1
athens	-80	unknown	roman-empire	roman-empire	1	state-aaff5e11511aa13a
athens	-70	unknown	roman-empire	roman-empire	1	state-84d3b1306ddc5c34
athens	-60	unknown	roman-empire	roman-empire	1	state-82cac6dee1696b35
athens	-50	unknown	roman-empire	roman-empire	1	state-1f8a0b825cee7991
athens	-40	unknown	roman-empire	roman-empire	1	state-b7c3e5fd9599b8c7
athens	-30	unknown	roman-empire	roman-empire	1	state-c99290f7071ade9f
athens	-20	unknown	roman-empire	roman-empire	1	state-79e5ecf0549cc260
athens	-10	unknown	roman-empire	roman-empire	1	state-ee8916f290d294a1
athens	0	unknown	roman-empire	roman-empire	1	state-bdb095b0646ff7aa
athens	10	unknown	roman-empire	roman-empire	1	state-ab8d3454da07eb4c
athens	20	unknown	roman-empire	roman-empire	1	state-70b34cf25f8ae86f
athens	30	unknown	roman-empire	roman-empire	1	state-9e5584b283e86fae
athens	40	unknown	roman-empire	roman-empire	1	state-6785c59ffe234621
athens	50	attested	disciples-of-jesus; roman-empire	roman-empire	3	state-93ad4653f3ba3287
athens	60	unknown	roman-empire	roman-empire	1	state-4cf5e09bb5f1b834
athens	70	unknown	roman-empire	roman-empire	1	state-6ca7f1377d27abf2
athens	80	unknown	roman-empire	roman-empire	1	state-ce246335ca6076e8
athens	90	unknown	roman-empire	roman-empire	1	state-7ccd4604536bcd14
athens	100	unknown	roman-empire	roman-empire	1	state-d562c139e8c2b07a
athens	110	unknown	roman-empire	roman-empire	1	state-4053ff6f43596011
athens	120	unknown	roman-empire	roman-empire	1	state-75d1e429a5a4a3d9
athens	130	unknown	roman-empire	roman-empire	1	state-3f8d42d44d02df17
athens	140	unknown	roman-empire	roman-empire	1	state-fa3778b4df547fd0
athens	150	unknown	roman-empire	roman-empire	1	state-2070edb7ce6515a7
athens	160	unknown	roman-empire	roman-empire	1	state-863fc35b5fe0ae0a
athens	170	unknown	roman-empire	roman-empire	1	state-0b7c3821a18eaa60
athens	180	unknown	roman-empire	roman-empire	1	state-276ecb8226622131
athens	190	unknown	roman-empire	roman-empire	1	state-5a851f7ad9641dc7
athens	200	unknown	roman-empire	roman-empire	1	state-693a01562f0908e3
athens	210	unknown	roman-empire	roman-empire	1	state-553afa5d21248fc6
athens	220	unknown	roman-empire	roman-empire	1	state-a95b7d29dc470be6
athens	230	unknown	roman-empire	roman-empire	1	state-a8737ba22fdc8211
athens	240	unknown	roman-empire	roman-empire	1	state-ff424cb380c3e1d7
athens	250	unknown	roman-empire	roman-empire	1	state-abff15b93d4acf8f
athens	260	unknown	roman-empire	roman-empire	1	state-02b3d666276010b5
athens	270	unknown	roman-empire	roman-empire	1	state-27ba2571bd2d3580
athens	280	unknown	roman-empire	roman-empire	1	state-bd4ac509d80fe1bc
athens	290	unknown	roman-empire	roman-empire	1	state-7553fa30e584c167
athens	300	unknown	roman-empire	roman-empire	1	state-5df9582b6f6bf7b1
athens	310	unknown	roman-empire	roman-empire	1	state-5b1753ab1d7f59bf
athens	320	unknown	roman-empire	roman-empire	1	state-73be6e87377d9be4
athens	330	unknown	roman-empire	roman-empire	1	state-7180e5680b722534
athens	340	unknown	roman-empire	roman-empire	1	state-f7caa4c6ce38303a
athens	350	unknown	roman-empire	roman-empire	1	state-1517137f699d9881
athens	360	unknown	roman-empire	roman-empire	1	state-42de21978167bca2
athens	370	unknown	roman-empire	roman-empire	1	state-c395cbd717f5a6f1
athens	380	unknown	roman-empire	roman-empire	1	state-bad3bd04e03c3a6a
athens	390	unknown	roman-empire	roman-empire	1	state-28ea5a98ef9ba51f
athens	400	unknown	roman-empire	roman-empire	1	state-70b66dc7efff794e
berea	-170	unknown	roman-empire	roman-empire	1	state-9de8acff5bcd8c5c
berea	-160	unknown	roman-empire	roman-empire	1	state-ec485fa31b7a1ff2
berea	-150	unknown	roman-empire	roman-empire	1	state-d0bb183c83f4da7d
berea	-140	unknown	roman-empire	roman-empire	1	state-1849ed3e9ae33414
berea	-130	unknown	roman-empire	roman-empire	1	state-32f76219ba887e64
berea	-120	unknown	roman-empire	roman-empire	1	state-d506c89ec58f080c
berea	-110	unknown	roman-empire	roman-empire	1	state-28395d8d91296165
berea	-100	unknown	roman-empire	roman-empire	1	state-d29d3944753ff7ed
berea	-90	unknown	roman-empire	roman-empire	1	state-9d899c9b3875080b
berea	-80	unknown	roman-empire	roman-empire	1	state-2efa774050eb5d46
berea	-70	unknown	roman-empire	roman-empire	1	state-c67e15898f851dba
berea	-60	unknown	roman-empire	roman-empire	1	state-c78b8e5069f6e63c
berea	-50	unknown	roman-empire	roman-empire	1	state-b2db6902aeb3a816
berea	-40	unknown	roman-empire	roman-empire	1	state-533e0bfc5f3757f1
berea	-30	unknown	roman-empire	roman-empire	1	state-054e36a6a6be0981
berea	-20	unknown	roman-empire	roman-empire	1	state-d6310105abe16c1e
berea	-10	unknown	roman-empire	roman-empire	1	state-8f4092718a01a046
berea	0	unknown	roman-empire	roman-empire	1	state-2cbfb7354c6411f0
berea	10	unknown	roman-empire	roman-empire	1	state-d7c001777ebd3a7e
berea	20	unknown	roman-empire	roman-empire	1	state-4c40f7fbff81d085
berea	30	unknown	roman-empire	roman-empire	1	state-09db3db4a0ed2a08
berea	40	unknown	roman-empire	roman-empire	1	state-3c13d1e807f0573b
berea	50	attested	roman-empire	roman-empire	2	state-feac9ea8e82224a0
berea	60	unknown	roman-empire	roman-empire	1	state-9cc520bee044014a
berea	70	unknown	roman-empire	roman-empire	1	state-c37b1ce1f34c2882
berea	80	unknown	roman-empire	roman-empire	1	state-8ec0ee05d487279c
berea	90	unknown	roman-empire	roman-empire	1	state-d71d59d11e135729
berea	100	unknown	roman-empire	roman-empire	1	state-8c8d0faf61b602d8
berea	110	unknown	roman-empire	roman-empire	1	state-622e7ceab0fd4e0a
berea	120	unknown	roman-empire	roman-empire	1	state-a74b85acce97f03e
berea	130	unknown	roman-empire	roman-empire	1	state-bea63985c3f55102
berea	140	unknown	roman-empire	roman-empire	1	state-b0ecc5725cdeb55d
berea	150	unknown	roman-empire	roman-empire	1	state-c33731166146ef06
berea	160	unknown	roman-empire	roman-empire	1	state-83111b7154b9d160
berea	170	unknown	roman-empire	roman-empire	1	state-fc7bb7ae2c53c139
berea	180	unknown	roman-empire	roman-empire	1	state-ae429c7ecf377101
berea	190	unknown	roman-empire	roman-empire	1	state-dae27ebc635636e0
berea	200	unknown	roman-empire	roman-empire	1	state-720e211e770b7517
berea	210	unknown	roman-empire	roman-empire	1	state-d4e086c490f3b981
berea	220	unknown	roman-empire	roman-empire	1	state-72550cc8a1aaea62
berea	230	unknown	roman-empire	roman-empire	1	state-caf1eb6bbe76563e
berea	240	unknown	roman-empire	roman-empire	1	state-4330df241a93cb5e
berea	250	unknown	roman-empire	roman-empire	1	state-fd20ffc0368a6077
berea	260	unknown	roman-empire	roman-empire	1	state-c69a61aba9e0eff4
berea	270	unknown	roman-empire	roman-empire	1	state-a92e4b8682812514
berea	280	unknown	roman-empire	roman-empire	1	state-d4477b09223f6d13
berea	290	unknown	roman-empire	roman-empire	1	state-f6329bd00ab13d29
berea	300	unknown	roman-empire	roman-empire	1	state-63947f41c260b1d2
berea	310	unknown	roman-empire	roman-empire	1	state-0dc6bda93e8d7953
berea	320	unknown	roman-empire	roman-empire	1	state-1f7436818753cfc9
